geometry,address
POINT (37.95261 49.413071),"Джерельне, 92622, Луганська область, Україна"
POINT (35.544201 46.73275),"Новопокровка, 72443, Запорізька область, Україна"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (38.71719 48.11462),"Андріївка, 86580-86582, Донецька область, Україна"
POINT (37.705761 49.76292),"Синьківка, Харківська область, Україна"
POINT (32.99057 46.710781),"Козачі Лагері, Херсонська область, Україна"
POINT (37.984894 49.523956),"Куземівка, 92630, Луганська область, Україна"
POINT (32.2448332 46.9421759),"Зелений Гай, 57252, Миколаївська область, Україна"
POINT (32.392841 46.570702),"Велетенське, 75005, Херсонська область, Україна"
POINT (38.1519523 48.7437735),"Веселе, 84542, Донецька область, Україна"
POINT (39.4956573 48.6429638),"Станиця Луганська, Луганська область, Україна"
POINT (37.4446318 50.3958578),"Землянки, Харківська область, Україна"
POINT (33.35209 46.16421),"Привілля, Херсонська область, Україна"
POINT (38.25542 48.43048),"Луганське, 84580-84581, Донецька область, Україна"
POINT (34.58948715385645 47.512568400000006),"Запорізька АЕС, 71500, Енергодар, Запорізька область, Україна"
POINT (33.8674006 47.4311003),"Пам'ятник кавуну «Дари Херсонщини», 74212, Нововоронцовська селищна громада, Херсонська область, Україна"
POINT (35.0123787 46.2632026),"Приморське, 75543, Генічеська міська громада, Херсонська область, Україна"
POINT (37.984894 49.523956),"Куземівка, 92630, Луганська область, Україна"
POINT (38.0214951 48.501751),"Одрадівка, 84572, Донецька область, Україна"
POINT (36.74978 47.69569),"Володине, 85552, Донецька область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (32.52835018515112 46.5750151),"Острів Великий Потьомкін, Україна"
POINT (36.86523 47.6762),"Ключове, 85552, Донецька область, Україна"
POINT (34.3729195 50.9395138),"Миколаївка, 41854, Сумська область, Україна"
POINT (34.58948715385645 47.512568400000006),"Запорізька АЕС, 71500, Енергодар, Запорізька область, Україна"
POINT (38.008919 49.33651),"Ковалівка, Луганська область, Україна"
POINT (30.309679 58.119003),"Сольцы, Новгородская область, Россия"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (33.5380219 46.3617756),"Чаплинка, 75200, Херсонська область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (35.826069 47.443081),"Роботине, 71720, Запорізька область, Україна"
POINT (38.2178525 49.0463189),"Кремінна, Луганська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (36.22864281891215 50.01508035),"Харківський національний університет радіоелектроніки, Серпова вулиця, 61166, Серпова вулиця, Харків, Харківська область, Україна"
POINT (17.0962437 48.1455656),"Tvarožkova, 811 03, Bratislava, Bratislavský kraj, Slovensko"
POINT (32.89204 46.661678),"Підстепне, 75112, Херсонська область, Україна"
POINT (37.5499621 47.0957648),"Маріуполь, 87500-87590, Донецька область, Україна"
POINT (50.8914633 53.2128813),"Самарская область, Россия"
POINT (37.9469388 49.3305107),"Новоєгорівка, 92624, Новоєгорівка, Луганська область, Україна"
POINT (40.0967706 49.5763091),"Діброва, Луганська область, Україна"
POINT (39.070389 48.823685),"Райгородка, 93543, Луганська область, Україна"
POINT (35.831909 47.420078),"Новопрокопівка, 71721, Запорізька область, Україна"
POINT (37.6528923 47.4625561),"Андріївка, 87120-87121, Донецька область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (32.71988745032017 46.67408625),"Антонівський міст, 73486, Херсонська міська громада, Херсонська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (28.6382068 53.3084631),"Асіповічы, Магілёўская вобласць, Беларусь"
POINT (35.8839188 50.0513573),"Вільшани, 62360, Харківська область, Україна"
POINT (32.786407 46.600521),"Саги, Херсонська область, Україна"
POINT (38.2178525 49.0463189),"Кремінна, Луганська область, Україна"
POINT (38.1343802 48.4137913),"Доломітне, 84573, Донецька область, Україна"
POINT (36.22864281891215 50.01508035),"Харківський національний університет радіоелектроніки, Серпова вулиця, 61166, Серпова вулиця, Харків, Харківська область, Україна"
POINT (39.31767563986999 48.5643447),"Луганский национальный университет им. Тараса Шевченко, Херсонська вулиця, 91011, Херсонська вулиця, Луганськ, Луганська область, Україна"
POINT (37.2167222 47.7562763),"Павлівка, 85672, Донецька область, Україна"
POINT (39.070389 48.823685),"Райгородка, 93543, Луганська область, Україна"
POINT (36.3610834 47.6219073),"Марфопіль, 70206, Запорізька область, Україна"
